.й	sg,nom
.йысенызы	sg,egr,3pl
.ёзязы|гес	sg,term,3pl,comp
.ёзязы|гем	sg,term,3pl,comp
.ёзязы	sg,term,3pl
.йёзязы|гес	sg,term,3pl,comp
.йёзязы|гем	sg,term,3pl,comp
.йёзязы	sg,term,3pl
.йытӥзы|гес	sg,prol,3pl,comp
.йытӥзы|гем	sg,prol,3pl,comp
.йытӥзы	sg,prol,3pl
.йтӥзы|гес	sg,prol,3pl,comp
.йтӥзы|гем	sg,prol,3pl,comp
.йтӥзы	sg,prol,3pl
.йёс|гес	pl,nom,comp
.йёс|гем	pl,nom,comp
.йёс	pl,nom
.йёс|эз|гес	pl,acc,comp
.йёс|эз|гем	pl,acc,comp
.йёс|эз	pl,acc
.йёс|ыз|гес	pl,acc,comp
.йёс|ыз|гем	pl,acc,comp
.йёс|ыз	pl,acc
.йёс|ты|гес	pl,acc,comp
.йёс|ты|гем	pl,acc,comp
.йёс|ты	pl,acc
.йёс|лэн|гес	pl,gen,comp
.йёс|лэн|гем	pl,gen,comp
.йёс|лэн	pl,gen
.йёс|лэсь|гес	pl,abl,comp
.йёс|лэсь|гем	pl,abl,comp
.йёс|лэсь	pl,abl
.йёс|лы|гес	pl,dat,comp
.йёс|лы|гем	pl,dat,comp
.йёс|лы	pl,dat
.йёс|эн|гес	pl,ins,comp
.йёс|эн|гем	pl,ins,comp
.йёс|эн	pl,ins
.йёс|ын|гес	pl,ins,comp
.йёс|ын|гем	pl,ins,comp
.йёс|ын	pl,ins
.йёс|тэк|гес	pl,car,comp
.йёс|тэк|гем	pl,car,comp
.йёс|тэк	pl,car
.йёс|я|гес	pl,adv,comp
.йёс|я|гем	pl,adv,comp
.йёс|я	pl,adv
.йёс|ъя|гес	pl,adv,comp
.йёс|ъя|гем	pl,adv,comp
.йёс|ъя	pl,adv
.йёс|ын|гес	pl,loc,comp
.йёс|ын|гем	pl,loc,comp
.йёс|ын	pl,loc
.йёс|э|гес	pl,ill,comp
.йёс|э|гем	pl,ill,comp
.йёс|э	pl,ill
.йёс|ы|гес	pl,ill,comp
.йёс|ы|гем	pl,ill,comp
.йёс|ы	pl,ill
.йёс|ысь|гес	pl,el,comp
.йёс|ысь|гем	pl,el,comp
.йёс|ысь	pl,el
.йёс|ысен|гес	pl,egr,comp
.йёс|ысен|гем	pl,egr,comp
.йёс|ысен	pl,egr
.йёс|озь|гес	pl,term,comp
.йёс|озь|гем	pl,term,comp
.йёс|озь	pl,term
.йёс|этӥ|гес	pl,prol,comp
.йёс|этӥ|гем	pl,prol,comp
.йёс|этӥ	pl,prol
.йёс|ытӥ|гес	pl,prol,comp
.йёс|ытӥ|гем	pl,prol,comp
.йёс|ытӥ	pl,prol
.йёс|тӥ|гес	pl,prol,comp
.йёс|тӥ|гем	pl,prol,comp
.йёс|тӥ	pl,prol
.йёс|лань|гес	pl,app,comp
.йёс|лань|гем	pl,app,comp
.йёс|лань	pl,app
.йёс|э|гес	pl,nom,1sg,comp
.йёс|э|гем	pl,nom,1sg,comp
.йёс|э	pl,nom,1sg
.йёс|ы|гес	pl,nom,1sg,comp
.йёс|ы|гем	pl,nom,1sg,comp
.йёс|ы	pl,nom,1sg
.йёс|ме|гес	pl,acc,1sg,comp
.йёс|ме|гем	pl,acc,1sg,comp
.йёс|ме	pl,acc,1sg
.йёс|элэн|гес	pl,gen,1sg,comp
.йёс|элэн|гем	pl,gen,1sg,comp
.йёс|элэн	pl,gen,1sg
.йёс|ылэн|гес	pl,gen,1sg,comp
.йёс|ылэн|гем	pl,gen,1sg,comp
.йёс|ылэн	pl,gen,1sg
.йёс|элэсь|гес	pl,abl,1sg,comp
.йёс|элэсь|гем	pl,abl,1sg,comp
.йёс|элэсь	pl,abl,1sg
.йёс|ылэсь|гес	pl,abl,1sg,comp
.йёс|ылэсь|гем	pl,abl,1sg,comp
.йёс|ылэсь	pl,abl,1sg
.йёс|элы|гес	pl,dat,1sg,comp
.йёс|элы|гем	pl,dat,1sg,comp
.йёс|элы	pl,dat,1sg
.йёс|ылы|гес	pl,dat,1sg,comp
.йёс|ылы|гем	pl,dat,1sg,comp
.йёс|ылы	pl,dat,1sg
.йёс|этэк|гес	pl,car,1sg,comp
.йёс|этэк|гем	pl,car,1sg,comp
.йёс|этэк	pl,car,1sg
.йёс|ытэк|гес	pl,car,1sg,comp
.йёс|ытэк|гем	pl,car,1sg,comp
.йёс|ытэк	pl,car,1sg
.йёс|эя|гес	pl,adv,1sg,comp
.йёс|эя|гем	pl,adv,1sg,comp
.йёс|эя	pl,adv,1sg
.йёс|ыя|гес	pl,adv,1sg,comp
.йёс|ыя|гем	pl,adv,1sg,comp
.йёс|ыя	pl,adv,1sg
.йёс|элань|гес	pl,app,1sg,comp
.йёс|элань|гем	pl,app,1sg,comp
.йёс|элань	pl,app,1sg
.йёс|ылэнь|гес	pl,app,1sg,comp
.йёс|ылэнь|гем	pl,app,1sg,comp
.йёс|ылэнь	pl,app,1sg
.йёс|эным|гес	pl,ins,1sg,comp
.йёс|эным|гем	pl,ins,1sg,comp
.йёс|эным	pl,ins,1sg
.йёс|ыным|гес	pl,ins,1sg,comp
.йёс|ыным|гем	pl,ins,1sg,comp
.йёс|ыным	pl,ins,1sg
.йёс|ам|гес	pl,loc,1sg,comp
.йёс|ам|гем	pl,loc,1sg,comp
.йёс|ам	pl,loc,1sg
.йёс|ам|гес	pl,ill,1sg,comp
.йёс|ам|гем	pl,ill,1sg,comp
.йёс|ам	pl,ill,1sg
